Number,Lemma,PoS,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,roots
16289,косоворотка,s,"кос,ворот",,кос => кос-1|кос-2|кос-3|кос-4; ворот => ворот-1|ворот-2,"кос-2,ворот-1"
16292,косоглазый,a,"кос,глаз",глаз,кос => кос-1|кос-2|кос-3|кос-4,"глаз,кос-2"
16293,косогор,s,"кос,гор",,кос => кос-1|кос-2|кос-3|кос-4; гор => гор-1|гор-2,"кос-2,гор-1"
16334,котенок,s,кот,,кот => кот-1|кот-2,кот-1
16336,котироваться,v,кот,,кот => кот-1|кот-2,кот-2
16337,котировка,s,кот,,кот => кот-1|кот-2,кот-2
16356,кофемолка,s,"кофе,мол",кофе(j),мол => мол-1|мол-2|мол-3,"кофе(j),мол-1"
16422,кранец,s,кран,,кран => кран-1|кран-2,кран-2
16424,крановщик,s,кран,,кран => кран-1|кран-2,кран-2
16462,краснодеревщик,s,"красн,дерев",крас-1,дерев => дерев-1|дерев-2,"крас-1,дерев-2"
16590,крестоносец,s,"крест,нос",крест,нос => нос-1|нос-2,"крест,нос-2"
16620,кривотолки,s,"крив,толк",крив,толк => толк-1|толк-2,"крив,толк-2"
16667,кроваво-красный,a,"кров,красн",крас-1,кров => кров-1|кров-2,"кров-1,крас-1"
16673,кровеносный,a,"кров,нос",,кров => кров-1|кров-2; нос => нос-1|нос-2,"кров-1,нос-2"
16679,кровожадность,s,"кров,жадн",жад,кров => кров-1|кров-2,"кров-1,жад"
16680,кровожадный,a,"кров,жадн",жад,кров => кров-1|кров-2,"кров-1,жад"
16682,кровообращение,s,"кров,обращ",обращ,кров => кров-1|кров-2,"кров-1,обращ"
16683,кровопийца,s,"кров,пий",пий,кров => кров-1|кров-2,"кров-1,пий"
16685,кровопотеря,s,"кров,тер",,кров => кров-1|кров-2; тер => тер-1|тер-2,"кров-1,тер-2"
16686,кровопролитие,s,"кров,ли",ли,кров => кров-1|кров-2,"кров-1,ли"
16688,кровопускание,s,"кров,пуск",пуск,кров => кров-1|кров-2,"кров-1,пуск"
16689,кровосмешение,s,"кров,меш",меш-1,кров => кров-1|кров-2,"кров-1,меш-1"
16690,кровоснабжение,s,"кров,снабж",бж,кров => кров-1|кров-2,"кров-1,бж"
16695,кровоточить,v,"кров,точ",,кров => кров-1|кров-2; точ => точ-1|точ-2|точ-3,"кров-1,точ-1"
16757,круговорот,s,"круг,ворот",круг,ворот => ворот-1|ворот-2,"круг,ворот-1"
16905,кукловод,s,"кукл,вод",кукл,вод => вод-1|вод-2,"кукл,вод-1"
16999,купировать,v,куп,,куп => куп-1|куп-2|куп-3,куп-1
17018,куратор,s,кур,,кур => кур-1|кур-2,кур-1
17033,курировать,v,кур,,кур => кур-1|кур-2,кур-1
17040,курносый,a,"кур,нос",,кур => кур-1|кур-2; нос => нос-1|нос-2,"кур-2,нос-1"
17095,кутеж,s,"кут,еж",еж,кут => кут-1|кут-2|кут-3|кут-4|кут-5,"кут-2,еж"
17096,кутенок,s,кут,,кут => кут-1|кут-2|кут-3|кут-4|кут-5,кут-5
17208,лаковый,a,лак,,лак => лак-1|лак-2,лак-2
17209,лакокрасочный,a,"лак,крас",,лак => лак-1|лак-2; крас => крас-1|крас-2,"лак-2,крас-1"
17338,легирование,s,лег,,лег => лег-1|лег-2,лег-2
17340,легировать,v,лег,,лег => лег-1|лег-2,лег-2
17349,легковерный,a,"легк,вер",лег-1,вер => вер-1|вер-2|вер-3,"лег-1,вер-1"
17350,легковесный,a,"легк,вес",лег-1,вес => вес-1|вес-2|вес-3|вес-4,"лег-1,вес-1"
17362,легонький,a,лег,,лег => лег-1|лег-2,лег-1
17378,ледокол,s,"лед,кол",лед-2,кол => кол-1|кол-2|кол-3,"лед-2,кол-1"
17434,ленинградец,s,"ленин,град",ленин,град => град-1|град-2,"ленин,град-1"
17436,ленинградский,a,"ленин,град",ленин,град => град-1|град-2,"ленин,град-1"
17482,лесовод,s,"лес,вод",,лес => лес-1|лес-2|лес-3; вод => вод-1|вод-2,"лес-1,вод-1"
17483,лесоводственный,a,"лес,вод",,лес => лес-1|лес-2|лес-3; вод => вод-1|вод-2,"лес-1,вод-1"
17485,лесовоз,s,"лес,воз",воз,лес => лес-1|лес-2|лес-3,"лес-1,воз"
17490,лесозаготовительный,a,"лес,готов",готов,лес => лес-1|лес-2|лес-3,"лес-1,готов"
17496,лесонасаждение,s,"лес,сажд",сажд,лес => лес-1|лес-2|лес-3,"лес-1,сажд"
17498,лесопарк,s,"лес,парк",парк,лес => лес-1|лес-2|лес-3,"лес-1,парк"
17499,лесопарковый,a,"лес,парк",парк,лес => лес-1|лес-2|лес-3,"лес-1,парк"
17501,лесопильный,a,"лес,пиль",пил,лес => лес-1|лес-2|лес-3,"лес-1,пил"
17502,лесоповал,s,"лес,вал",вал,лес => лес-1|лес-2|лес-3,"лес-1,вал"
17504,лесополоса,s,"лес,полос",,лес => лес-1|лес-2|лес-3; полос => полос-1|полос-2,"лес-1,полос-1"
17507,лесопосадка,s,"лес,сад",сад,лес => лес-1|лес-2|лес-3,"лес-1,сад"
17509,лесопромышленный,a,"лес,промышл",мышл,лес => лес-1|лес-2|лес-3,"лес-1,мышл"
17511,лесоразведение,s,"лес,вед",,лес => лес-1|лес-2|лес-3; вед => вед-1|вед-2,"лес-1,вед-2"
17515,лесосека,s,"лес,сек",сек,лес => лес-1|лес-2|лес-3,"лес-1,сек"
17516,лесосеменной,a,"лес,сем",,лес => лес-1|лес-2|лес-3; сем => сем-1|сем-2|сем-3,"лес-1,сем-3"
17517,лесосечный,a,"лес,сеч",сеч,лес => лес-1|лес-2|лес-3,"лес-1,сеч"
17519,лесостепь,s,"лес,степь",степ,лес => лес-1|лес-2|лес-3,"лес-1,степ"
17520,лесотехнический,a,"лес,техн",техн,лес => лес-1|лес-2|лес-3,"лес-1,техн"
17522,лесоустроительный,a,"лес,стро",стро(j),лес => лес-1|лес-2|лес-3,"лес-1,стро(j)"
17523,лесоустройство,s,"лес,строй",стро(j),лес => лес-1|лес-2|лес-3,"лес-1,стро(j)"
17526,леспромхоз,s,"лес,пром,хоз","пром,хоз",лес => лес-1|лес-2|лес-3,"лес-1,пром,хоз"
17527,леспромхозовский,a,"лес,пром,хоз","пром,хоз",лес => лес-1|лес-2|лес-3,"лес-1,пром,хоз"
17534,лесхоз,s,"лес,хоз",хоз,лес => лес-1|лес-2|лес-3,"лес-1,хоз"
17535,лет,s,лет,,лет => лет-1|лет-2,лет-1
17545,летно-технический,a,"лет,техн",техн,лет => лет-1|лет-2,"лет-2,техн"
17546,летный,a,лет,,лет => лет-1|лет-2,лет-2
17550,летописец,s,"лет,пис",пис,лет => лет-1|лет-2,"лет-1,пис"
17551,летописный,a,"лет,пис",пис,лет => лет-1|лет-2,"лет-1,пис"
17552,летопись,s,"лет,пись",пис,лет => лет-1|лет-2,"лет-1,пис"
17553,летосчисление,s,"лет,числ",числ,лет => лет-1|лет-2,"лет-1,числ"
17559,летчица,s,лет,,лет => лет-1|лет-2,лет-2
17717,литературовед,s,"литерат,вед",литерат,вед => вед-1|вед-2,"литерат,вед-1"
17718,литературоведение,s,"литерат,вед",литерат,вед => вед-1|вед-2,"литерат,вед-1"
17719,литературоведческий,a,"литерат,вед",литерат,вед => вед-1|вед-2,"литерат,вед-1"
17975,луженый,a,луж,,луж => луж-1|луж-2|луж-3,луж-2
17994,лук-порей,s,"лук,порей",порей,лук => лук-1|лук-2|лук-3,"лук-2,порей"
18244,макромир,s,мир,,мир => мир-1|мир-2,мир-1
18270,малек,s,мал,,мал => мал-1|мал-2|мал-3|мал-4,мал-1
18280,маловажный,a,"мал,важн",важ-1,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,важ-1"
18284,маловероятный,a,"мал,вероятн",вероят,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,вероят"
18285,маловразумительный,a,"мал,ум",ум,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,ум"
18287,малогабаритный,a,"мал,габарит",габарит,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,габарит"
18288,малограмотный,a,"мал,грамот",грамот,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,грамот"
18294,малозаметный,a,"мал,замет",мет-2,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,мет-2"
18295,малознакомый,a,"мал,знаком",зна(j),мал => мал-1|мал-2|мал-3|мал-4,"мал-1,зна(j)"
18296,малозначащий,a,"мал,знач",зна(j),мал => мал-1|мал-2|мал-3|мал-4,"мал-1,зна(j)"
18297,малозначительный,a,"мал,знач",зна(j),мал => мал-1|мал-2|мал-3|мал-4,"мал-1,зна(j)"
18299,малоизученный,a,"мал,уч",уч,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,уч"
18300,малоимущий,a,мал,,мал => мал-1|мал-2|мал-3|мал-4,мал-1
18301,малоинтересный,a,"мал,интерес",интерес,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,интерес"
18302,малокалиберный,a,"мал,калибер",калибер,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,калибер"
18304,малокровный,a,"мал,кров",,мал => мал-1|мал-2|мал-3|мал-4; кров => кров-1|кров-2,"мал-1,кров-1"
18306,малолетний,a,"мал,лет",,мал => мал-1|мал-2|мал-3|мал-4; лет => лет-1|лет-2,"мал-1,лет-1"
18307,малолетство,s,"мал,лет",,мал => мал-1|мал-2|мал-3|мал-4; лет => лет-1|лет-2,"мал-1,лет-1"
18309,малолюдный,a,"мал,люд",люд,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,люд"
18312,маломерный,a,"мал,мер",,мал => мал-1|мал-2|мал-3|мал-4; мер => мер-1|мер-2|мер-3,"мал-1,мер-1"
18313,маломощный,a,"мал,мощ",мощ-1,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,мощ-1"
18314,малонаселенный,a,"мал,сел",сел,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,сел"
18315,малообеспеченный,a,"мал,обеспеч",печ,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,печ"
18316,малообразованный,a,"мал,образова",раз-1,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,раз-1"
18317,малоопытный,a,"мал,опыт",пыт,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,пыт"
18318,малоподвижный,a,"мал,движ",движ,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,движ"
18319,мало-помалу,adv,"мал,мал",,мал => мал-1|мал-2|мал-3|мал-4; мал => мал-1|мал-2|мал-3|мал-4,"мал-1,мал-1"
18320,малопонятный,a,"мал,поня",ня,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,ня"
18321,малопривлекательный,a,"мал,влек",влек,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,влек"
18322,малопригодный,a,"мал,год",год,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,год"
18323,малоприятный,a,"мал,приятн",приятн,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,приятн"
18324,малоразмерный,a,"мал,мер",,мал => мал-1|мал-2|мал-3|мал-4; мер => мер-1|мер-2|мер-3,"мал-1,мер-1"
18325,малорослый,a,"мал,рос",,мал => мал-1|мал-2|мал-3|мал-4; рос => рос-1|рос-2,"мал-1,рос-2"
18332,малоценный,a,"мал,цен",цен,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,цен"
18334,малочисленный,a,"мал,числ",числ,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,числ"
18336,малоэффективный,a,"мал,эффект",эффект,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,эффект"
18428,манометр,s,"ман,метр",метр,ман => ман-1|ман-2,"ман-1,метр"
18727,мед,s,мед,,мед => мед-1|мед-2,мед-2
18744,медик,s,мед,,мед => мед-1|мед-2,мед-1
18749,мединститут,s,"мед,институт",институт,мед => мед-1|мед-2,"мед-1,институт"
18756,медкомиссия,s,"мед,комисси",комисси,мед => мед-1|мед-2,"мед-1,комисси"
18769,медперсонал,s,"мед,персонал",персонал,мед => мед-1|мед-2,"мед-1,персонал"
18770,медпункт,s,"мед,пункт",пункт,мед => мед-1|мед-2,"мед-1,пункт"
18773,медсанбат,s,"мед,сан,бат",бат,мед => мед-1|мед-2; сан => сан-1|сан-2,"мед-1,сан-1,бат"
18775,медсестра,s,"мед,сестр",сестр,мед => мед-1|мед-2,"мед-1,сестр"
18853,мелководный,a,"мелк,вод",мел,вод => вод-1|вод-2,"мел,вод-2"
18871,меломан,s,"мел,ман",мел,ман => ман-1|ман-2,"мел,ман-1"
18955,мериться,v,мер,,мер => мер-1|мер-2|мер-3,мер-1
18992,местком,s,мест,,мест => мест-1|мест-2,мест-1
19000,местонахождение,s,"мест,хожд",хожд,мест => мест-1|мест-2,"мест-1,хожд"
19001,местообитание,s,"мест,обита",обит,мест => мест-1|мест-2,"мест-1,обит"
19002,местоположение,s,"мест,лож",,мест => мест-1|мест-2; лож => лож-1|лож-2,"мест-1,лож-1"
19003,местопребывание,s,"мест,бы",бы,мест => мест-1|мест-2,"мест-1,бы"
19005,месторождение,s,"мест,рожд",рожд,мест => мест-1|мест-2,"мест-1,рожд"
19014,метаболизм,s,"мета,бол",мета,бол => бол-1|бол-2,"мета,бол-1"
19015,метаболит,s,"мета,бол",мета,бол => бол-1|бол-2,"мета,бол-1"
19016,метаболический,a,"мета,бол",мета,бол => бол-1|бол-2,"мета,бол-1"
19019,метаданные,s,"мета,да",мета,да => да-1|да-2|да-3,"мета,да-1"
19028,металлопрокат,s,"металл,кат",металл,кат => кат-1|кат-2,"металл,кат-1"
19122,меченосец,s,"меч,нос",,меч => меч-1|меч-2; нос => нос-1|нос-2,"меч-2,нос-2"
19181,микроволновый,a,волн,,волн => волн-1|волн-2,волн-1
19185,микромир,s,мир,,мир => мир-1|мир-2,мир-1
19200,микрочастица,s,част,,част => част-1|част-2,част-1
19261,мимолетный,a,"мимо,лет",мимо,лет => лет-1|лет-2,"мимо,лет-2"
19337,миро,s,мир,,мир => мир-1|мир-2,мир-1
19338,мировоззрение,s,"мир,воз,зр","воз,зр",мир => мир-1|мир-2,"мир-1,воз,зр"
19339,мировоззренческий,a,"мир,воз,зр","воз,зр",мир => мир-1|мир-2,"мир-1,воз,зр"
19341,мировосприятие,s,"мир,восприя",я-1,мир => мир-1|мир-2,"мир-1,я-1"
19342,мироед,s,"мир,ед",ед,мир => мир-1|мир-2,"мир-1,ед"
19343,мироздание,s,"мир,здани",зд,мир => мир-1|мир-2,"мир-1,зд"
19346,миролюбивый,a,"мир,люб",люб,мир => мир-1|мир-2,"мир-1,люб"
19347,миролюбие,s,"мир,люб",люб,мир => мир-1|мир-2,"мир-1,люб"
19348,мироощущение,s,"мир,ощущ",ощущ,мир => мир-1|мир-2,"мир-1,ощущ"
19350,миропонимание,s,"мир,поним",ним,мир => мир-1|мир-2,"мир-1,ним"
19352,миросозерцание,s,"мир,созерц",созерц,мир => мир-1|мир-2,"мир-1,созерц"
19353,миротворец,s,"мир,твор",,мир => мир-1|мир-2; твор => твор-1|твор-2,"мир-1,твор-1"
19354,миротворческий,a,"мир,твор",,мир => мир-1|мир-2; твор => твор-1|твор-2,"мир-1,твор-1"
19455,многолетний,a,"мног,лет",мног,лет => лет-1|лет-2,"мног,лет-1"
19456,многолетник,s,"мног,лет",мног,лет => лет-1|лет-2,"мног,лет-1"
19496,многотонный,a,"мног,тон",мног,тон => тон-1|тон-2,"мног,тон-1"
19497,многоточие,s,"мног,точ",мног,точ => точ-1|точ-2|точ-3,"мног,точ-2"
19501,многоугольник,s,"мног,уголь",мног,уголь => угол-1|угол-2,"мног,угол-1"
19679,молочно-белый,a,"молоч,бел",бел,молоч => молоч-1|молоч-2,"молоч-2,бел"
19739,мономер,s,"моно,мер",моно,мер => мер-1|мер-2|мер-3,"моно,мер-1"
19756,монотонный,a,"моно,тон",моно,тон => тон-1|тон-2,"моно,тон-1"
19792,мордобой,s,"морд,бой",бо(j)-1,морд => морд-1|морд-2,"морд-1,бо(j)-1"
19794,мордоворот,s,"морд,ворот",,морд => морд-1|морд-2; ворот => ворот-1|ворот-2,"морд-1,ворот-1"
19798,мореный,a,мор,,мор => мор-1|мор-2,мор-1
19799,мореплавание,s,"мор,плав",плав,мор => мор-1|мор-2,"мор-2,плав"
19800,мореплаватель,s,"мор,плав",плав,мор => мор-1|мор-2,"мор-2,плав"
19804,мореходный,a,"мор,ход",ход,мор => мор-1|мор-2,"мор-2,ход"
19923,мочеточник,s,"моч,точ",моч-1,точ => точ-1|точ-2|точ-3,"моч-1,точ-1"
20007,музыковед,s,"музык,вед",музык,вед => вед-1|вед-2,"музык,вед-1"
20008,музыковедческий,a,"музык,вед",музык,вед => вед-1|вед-2,"музык,вед-1"
20098,мухомор,s,"мух,мор",мух,мор => мор-1|мор-2,"мух,мор-1"
20178,мягкотелость,s,"мягк,тел",мяг,тел => тел-1|тел-2,"мяг,тел-1"
20179,мягкотелый,a,"мягк,тел",мяг,тел => тел-1|тел-2,"мяг,тел-1"
20190,мясокомбинат,s,"мяс,комбинат",комбинат,мяс => мяс-1|мяс-2,"мяс-1,комбинат"
20193,мясорубка,s,"мяс,руб",руб,мяс => мяс-1|мяс-2,"мяс-1,руб"
20346,навязывание,s,вяз,,вяз => вяз-1|вяз-2,вяз-2
20593,наиболее,adv,бол,,бол => бол-1|бол-2,бол-2
20594,наибольший,a,боль,,боль => бол-1|бол-2,бол-2
20688,накопитель,s,коп,,коп => коп-1|коп-2|коп-3,коп-2
20733,налет,s,лет,,лет => лет-1|лет-2,лет-2
20736,налетчик,s,лет,,лет => лет-1|лет-2,лет-2
20764,налогообложение,s,"налог,лож",лог,лож => лож-1|лож-2,"лог,лож-1"
20765,налогоплательщик,s,"налог,плат",лог,плат => плат-1|плат-2,"лог,плат-1"
20984,напыление,s,пыл,,пыл => пыл-1|пыл-2,пыл-2
21029,наркоман,s,"нарк,ман",нарк,ман => ман-1|ман-2,"нарк,ман-1"
21030,наркомания,s,"нарк,ман",нарк,ман => ман-1|ман-2,"нарк,ман-1"
21064,нарсуд,s,"нар,суд",нар,суд => суд-1|суд-2,"нар,суд-1"
21276,натертый,a,тер,,тер => тер-1|тер-2,тер-1
21434,начес,s,чес,,чес => чес-1|чес-2,чес-1
21525,небритый,a,бр,,бр => бр-1|бр-2,бр-2
21537,неведение,s,вед,,вед => вед-1|вед-2,вед-1
21538,неведомо,adv,вед,,вед => вед-1|вед-2,вед-1
21539,неведомый,a,вед,,вед => вед-1|вед-2,вед-1
21558,неверующий,a,вер,,вер => вер-1|вер-2|вер-3,вер-1
21559,неверующий,s,вер,,вер => вер-1|вер-2|вер-3,вер-1
21564,невесомый,a,вес,,вес => вес-1|вес-2|вес-3|вес-4,вес-1
21604,невоенный,a,во,,во => во(j)-1|во(j)-2|во(j)-3,во(j)-2
21621,неволя,s,вол,,вол => вол-1|вол-2,вол-1
21654,невыплата,s,плат,,плат => плат-1|плат-2,плат-1
21739,недобрать,v,бр,,бр => бр-1|бр-2,бр-1
21763,недодать,v,да,,да => да-1|да-2|да-3,да-1
21776,недолгий,a,долг,,долг => долг-1|долг-2,долг-1
21779,недолговечный,a,"долг,веч",,долг => долг-1|долг-2; веч => веч-1|веч-2,"долг-1,веч-1"
21794,недоплатить,v,плат,,плат => плат-1|плат-2,плат-1
21804,недопущение,s,пущ,,пущ => пущ-1|пущ-2,пущ-2
21810,недорогой,a,дорог,,дорог => дорог-1|дорог-2|дорог-3,дорог-1
21874,нежданно-негаданно,adv,"жд,гад",жд,гад => гад-1|гад-2,"жд,гад-1"
21886,нежирный,a,жир,,жир => жир-1|жир-2,жир-1
21909,незадолго,adv,долг,,долг => долг-1|долг-2,долг-1
21923,незаменимый,a,мен,,мен => мен-1|мен-2,мен-1
21933,незапертый,a,пер,,пер => пер-1|пер-2,пер-1
21980,неизведанный,a,вед,,вед => вед-1|вед-2,вед-1
21996,неизреченный,a,реч,,реч => реч-1|реч-2,реч-2
22003,неимущий,a,им,,им => им-1|им-2,им-1
22078,некрасивый,a,крас,,крас => крас-1|крас-2,крас-1
22139,немаловажный,a,"мал,важн",важ-1,мал => мал-1|мал-2|мал-3|мал-4,"мал-1,важ-1"
22140,немалый,a,мал,,мал => мал-1|мал-2|мал-3|мал-4,мал-1
22147,немереный,a,мер,,мер => мер-1|мер-2|мер-3,мер-1
22197,ненадолго,adv,долг,,долг => долг-1|долг-2,долг-1
22229,необоримый,a,бор,,бор => бор-1|бор-2|бор-3,бор-2
22283,неодушевленный,a,"душ,евл",евл,душ => душ-1|душ-2,"душ-1,евл"
22284,неожиданно,adv,жид,,жид => жид-1|жид-2,жид-1
22304,неоплаченный,a,плач,,плач => плач-1|плач-2|плач-3,плач-1
22356,неотложка,s,лож,,лож => лож-1|лож-2,лож-1
22384,непереносимый,a,нос,,нос => нос-1|нос-2,нос-2
22390,неплатеж,s,"плат,еж",еж,плат => плат-1|плат-2,"плат-1,еж"
22391,неплатежеспособный,a,"плат,еж,способн","еж,соб",плат => плат-1|плат-2,"плат-1,еж,соб"
22392,неплательщик,s,плат,,плат => плат-1|плат-2,плат-1
22411,неподатливый,a,да,,да => да-1|да-2|да-3,да-1
22425,неподсудный,a,суд,,суд => суд-1|суд-2,суд-1
22540,неприбранный,a,бр,,бр => бр-1|бр-2,бр-1
22559,неприкосновенность,s,кос,,кос => кос-1|кос-2|кос-3|кос-4,кос-4
22560,неприкосновенный,a,кос,,кос => кос-1|кос-2|кос-3|кос-4,кос-4
22568,неприметный,a,мет,,мет => мет-1|мет-2,мет-2
22651,неравномерный,a,"равн,мер",рав,мер => мер-1|мер-2|мер-3,"рав,мер-1"
22663,неразборчивый,a,бор,,бор => бор-1|бор-2|бор-3,бор-1
22666,неразгаданный,a,гад,,гад => гад-1|гад-2,гад-1
22737,нерукотворный,a,"рук,твор",рук,твор => твор-1|твор-2,"рук,твор-1"
22738,нерусский,a,рус,,рус => рус-1|рус-2,рус-2
22751,несведущий,a,вед,,вед => вед-1|вед-2,вед-1
22760,несвязный,a,вяз,,вяз => вяз-1|вяз-2,вяз-2
22763,несгораемый,a,"гор,ем",ем,гор => гор-1|гор-2,"гор-2,ем"
22802,несмелый,a,сме,,сме => сме-1|сме-2,сме-2
22811,несносный,a,нос,,нос => нос-1|нос-2,нос-2
22812,несоблюдение,s,блюд,,блюд => блюд-1|блюд-2|блюд-3,блюд-1
22814,несовершеннолетний,a,"совершенн,лет",совершенн,лет => лет-1|лет-2,"совершенн,лет-1"
22830,несоизмеримый,a,мер,,мер => мер-1|мер-2|мер-3,мер-1
22845,несоразмерный,a,мер,,мер => мер-1|мер-2|мер-3,мер-1
22926,нетопленый,a,топл,,топл => топ-1|топ-2|топ-3,топ-3
22946,неубранный,a,бр,,бр => бр-1|бр-2,бр-1
22951,неуверенность,s,вер,,вер => вер-1|вер-2|вер-3,вер-1
22952,неуверенный,a,вер,,вер => вер-1|вер-2|вер-3,вер-1
22955,неувязка,s,вяз,,вяз => вяз-1|вяз-2,вяз-2
23003,неумеренный,a,мер,,мер => мер-1|мер-2|мер-3,мер-1
23006,неуместный,a,мест,,мест => мест-1|мест-2,мест-1
23018,неуплата,s,плат,,плат => плат-1|плат-2,плат-1
23024,неуравновешенный,a,"равн,веш",рав,веш => веш-1|веш-2,"рав,веш-1"
23025,неурожай,s,рож,,рож => рож-1|рож-2|рож-3|рож-4,рож-2
23053,неутомимость,s,том,,том => том-1|том-2,том-2
23054,неутомимый,a,том,,том => том-1|том-2,том-2
23075,нефтегазоносность,s,"нефт,газ,нос","нефт,газ",нос => нос-1|нос-2,"нефт,газ,нос-2"
23082,нефтеносный,a,"нефт,нос",нефт,нос => нос-1|нос-2,"нефт,нос-2"
23107,нецелесообразность,s,"цел,сообразн",раз-1,цел => цел-1|цел-2,"цел-1,раз-1"
23108,нецелесообразный,a,"цел,сообразн",раз-1,цел => цел-1|цел-2,"цел-1,раз-1"
23119,нечесаный,a,чес,,чес => чес-1|чес-2,чес-1
23181,низвести,v,"низ,вес",,низ => низ-1|низ-2; вес => вес-1|вес-2|вес-3|вес-4,"низ-1,вес-2"
23182,низводить,v,"низ,вод",,низ => низ-1|низ-2; вод => вод-1|вод-2,"низ-1,вод-1"
23190,низколетящий,a,"низк,лет",низ-1,лет => лет-1|лет-2,"низ-1,лет-2"
23192,низкооплачиваемый,a,"низк,плач",низ-1,плач => плач-1|плач-2|плач-3,"низ-1,плач-1"
23196,низкорослый,a,"низк,рос",низ-1,рос => рос-1|рос-2,"низ-1,рос-2"
23200,низложить,v,"низ,лож",,низ => низ-1|низ-2; лож => лож-1|лож-2,"низ-1,лож-1"
23231,ниспослать,v,сл,,сл => сл-1|сл-2,сл-1
23403,носоглотка,s,"нос,глот",глот,нос => нос-1|нос-2,"нос-1,глот"
23405,носорог,s,"нос,рог",рог,нос => нос-1|нос-2,"нос-1,рог"
23425,ночлег,s,"ноч,лег",ноч-2,лег => лег-1|лег-2,"ноч-2,лег-2"
23591,обезболивающий,a,бол,,бол => бол-1|бол-2,бол-1
23653,обесточить,v,точ,,точ => точ-1|точ-2|точ-3,точ-1
23675,обжатие,s,жа,,жа => жа-1|жа-2,жа-1
23790,облет,s,лет,,лет => лет-1|лет-2,лет-2
24325,обществовед,s,"общ,вед",общ,вед => вед-1|вед-2,"общ,вед-1"
24443,овцеводство,s,"овц,вод",ов,вод => вод-1|вод-2,"ов,вод-1"
24476,огнемет,s,"огн,мет",огн,мет => мет-1|мет-2,"огн,мет-1"
24484,огнетушитель,s,"огн,туш",огн,туш => туш-1|туш-2,"огн,туш-2"
24592,одиннадцатилетний,a,"один,дцат,лет","один,дцат",лет => лет-1|лет-2,"один,дцат,лет-1"
24616,однодневный,a,"одн,дн",одн,дн => дн-1|дн-2,"одн,дн-1"
24630,однолетний,a,"одн,лет",одн,лет => лет-1|лет-2,"одн,лет-1"
24631,однолетник,s,"одн,лет",одн,лет => лет-1|лет-2,"одн,лет-1"
24644,одноосный,a,"одн,ос",одн,ос => ос-1|ос-2,"одн,ос-2"
24662,однотонный,a,"одн,тон",одн,тон => тон-1|тон-2,"одн,тон-1"
24814,окатыш,s,кат,,кат => кат-1|кат-2,кат-1
24826,окислительно-восстановительный,a,"кис,восстанов",ста(j),кис => кис-1|кис-2|кис-3,"кис-1,ста(j)"
24881,окосеть,v,кос,,кос => кос-1|кос-2|кос-3|кос-4,кос-2
24966,оленевод,s,"олен,вод",олен,вод => вод-1|вод-2,"олен,вод-1"
25073,опенок,s,пен,,пен => пен-1|пен-2|пен-3,пен-2
25144,оплодотворение,s,"плод,твор",плод,твор => твор-1|твор-2,"плод,твор-1"
25145,оплодотворить,v,"плод,твор",плод,твор => твор-1|твор-2,"плод,твор-1"
25146,оплодотворять,v,"плод,твор",плод,твор => твор-1|твор-2,"плод,твор-1"
25177,опорно-двигательный,a,"пор,двиг",двиг,пор => пор-1|пор-2|пор-3|пор-4,"пор-3,двиг"
25302,опустошенный,a,пуст,,пуст => пуст-1|пуст-2,пуст-2
25384,орденоносец,s,"орден,нос",орден,нос => нос-1|нос-2,"орден,нос-2"
25385,орденоносный,a,"орден,нос",орден,нос => нос-1|нос-2,"орден,нос-2"
25449,оруженосец,s,"оруж,нос",руж,нос => нос-1|нос-2,"руж,нос-2"
25555,осколочек,s,кол,,кол => кол-1|кол-2|кол-3,кол-1
25635,основоположник,s,"основ,лож",снов,лож => лож-1|лож-2,"снов,лож-1"
25711,осточертеть,v,"осто,черт",осто,черт => черт-1|черт-2,"осто,черт-2"
25732,остроносый,a,"остр,нос",остр,нос => нос-1|нос-2,"остр,нос-1"
26506,отсыпка,s,сып,,сып => сып-1|сып-2,сып-1
26558,отхлебывать,v,хлеб,,хлеб => хлеб-1|хлеб-2,хлеб-2
