Number,Lemma,PoS,reason,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,notes,roots
15131,клинически,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клин
15132,клинический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клин
15137,клинский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клин
15140,клипер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клипер
15141,клипмейкер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клипмейкер
15142,клипса,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клипс
15143,клипсатор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клипс
15144,клир,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клир
15145,клиренс,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клиренс
15146,клирик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клирик
15149,клитор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клитор
15150,клич,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клич
15159,клон,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клон
15160,клонирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клон
15161,клонировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клон
15167,клоунада,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клоунад
15171,клошар,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клошар
15187,клювик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клюв
15188,клюз,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клюз
15195,ключевский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ключев
15200,клякса,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клякс
15206,клятвенно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,клятв
15211,кнедлик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кнедл
15219,книготорговый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,книготорг
15221,книгочей,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,книгочей
15229,книксен,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,книксен
15247,кобальт,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кобальт
15257,коварно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коварн
15267,коверкотовый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коверкот
15269,ковер-самолет,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"ковер,самолет"
15274,ковровский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ковров
15276,ковролин,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ковролин
15286,когнитивный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,когнит
15295,кодирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,код
15298,кодировка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кодиров
15299,кодирующий,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кодирующ
15301,кодла,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кодл
15303,кодон,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кодон
15317,козел,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,козел
15318,козельский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,козель
15319,козерог,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,козерог
15321,козленок,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,козлен
15335,коитус,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коитус
15337,койот,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,койот
15338,кок,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кок
15339,кока,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кока
15340,кокаин,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кокаин
15343,кокетка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кокет
15344,кокетливо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кокетлив
15354,кокпит,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кокпит
15359,коктебельский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коктебель
15360,коктейль,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коктейль
15362,кола,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кол
15363,колба,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колб
15365,колбасить,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колбас
15368,колбочка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колб
15381,коленвал,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коленвал
15387,коленопреклоненный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коленопреклонен
15391,колесико,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колесик
15398,колибри,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колибр
15399,колика,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коли
15400,колин,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колин
15401,количественно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,количеств
15407,коллаген,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коллаген
15408,коллагеновый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коллаген
15409,коллаж,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коллаж
15410,коллапс,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коллапс
15412,коллегиально,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коллеги
15413,коллегиальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коллеги
15421,коллективно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коллект
15422,коллективный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коллект
15429,колли,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колл
15431,коллизия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коллиз
15435,колобродить,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колоброд
15448,колониальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колони
15449,колонизатор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колониз
15452,колония,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колон
15467,колоссально,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колосс
15479,колумбиец,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колумби
15480,колумбийский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колумбий
15484,колхозник,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колхоз
15493,колымский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колым
15499,колье,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кол
15500,колькин,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колькин
15502,кольский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коль
15506,кольцовский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кольцов
15516,командарм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,командарм
15520,командировочные,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,командировоч
15523,командно-административный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"командн,администрат"
15524,командно-штабной,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"командн,штаб"
15530,командос,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,командос
15535,комбайн,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комбайн
15538,комбикорм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комбикорм
15539,комбикормовый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комбикорм
15546,комбинезон,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комбинезон
15547,комбинирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комбин
15549,комбинировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комбин
15552,комедиант,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комеди
15559,комета,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комет
15560,коми,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ком
15564,комильфо,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комильфо
15569,комиссарский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комиссар
15571,комиссионка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комиссион
15572,комиссионные,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комиссион
15576,комитент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комитент
15579,комический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ком
15580,комично,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ком
15583,комкор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комкор
15585,коммендатор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комменд
15586,коммент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммент
15587,комментарий,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комментар
15591,коммерциализация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммерциал
15593,коммерчески,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммерческ
15595,коммивояжер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммивояжер
15598,коммунально-бытовой,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"коммун,бытов"
15600,коммунальщик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммуналь
15604,коммуникабельный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммуникабель
15605,коммуникативный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммуникат
15606,коммуникатор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммуник
15608,коммуникация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммуника
15609,коммунист,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммун
15610,коммунистический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммунист
15612,коммуняка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммуня
15615,коммюнике,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммюнике
15617,комнатенка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комнатен
15618,комнатка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комнат
15624,комп,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комп
15625,компакт,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компакт
15626,компакт-диск,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"компакт,диск"
15627,компактно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компактн
15630,компанейский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компаней
15633,компаньонка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компаньон
15637,компенсаторный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компенсатор
15638,компенсационный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компенсацион
15642,компенсирующий,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компенсирующ
15643,компетентно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компетентн
15644,компетентность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компетент
15649,комплексирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комплекс
15650,комплексно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комплексн
15653,комплексовать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комплексов
15654,комплект,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комплект
15656,комплектность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комплект
15657,комплектный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комплект
15661,комплектующие,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комплектующие
15662,комплекция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комплек
15663,комплемент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комплемент
15665,комплимент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комплимент
15667,композит,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,композит
15668,композитный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,композит
15671,композиционно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,композиционн
15675,компонент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компонент
15676,компонента,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компонент
15677,компонентный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компонент
15679,компоновка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компонов
15686,компромат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компромат
15688,компрометировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компромет
15697,комсомолец,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комсомол
15698,комсомолка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комсомол
15703,комфортабельно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комфортабельн
15704,комфортабельный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комфортабель
15705,комфортно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комфортн
15706,комфортность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комфорт
15713,конвективный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конвект
15714,конвекция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конвек
15717,конвергенция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конверген
15721,конвертация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конверта
15723,конвертерный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конвертер
15724,конвертик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конверт
15725,конвертировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конверт
15726,конвертируемость,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конвертиру
15727,конвертируемый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конвертиру
15729,конвоировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конво
15740,кондак,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кондак
15744,конденсировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конденс
15749,кондиционирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кондицион
15750,кондиционировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кондицион
15753,кондоминиум,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кондоминиум
15754,кондор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кондор
15755,кондратий,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кондрат
15758,кондукторша,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кондукторш
15765,конешно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конешн
15773,конкретика,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конкрети
15774,конкретно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конкретн
15776,конкретность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конкрет
15780,конкурентный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конкурент
15781,конкурентоспособность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конкурентоспособ
15782,конкурентоспособный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конкурентоспособ
15783,конкуренция,s,lemma_level_conflict,"конкур,енц",конкур,,Root-level mapping escalated енц to lemma-level conflict,конкур
15798,конопушка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конопуш
15799,консалтинг,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консалтинг
15800,консалтинговый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консалтинг
15802,консенсусный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консенсус
15804,консервативно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консерват
15805,консервативность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консерватив
15809,консерватория,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консерватор
15812,консервирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консерв
15815,консервный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консерв
15818,консистенция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консистен
15819,консистория,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консистор
15825,консоль,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консоль
15826,консорциум,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консорциум
15827,конспект,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конспект
15830,конспиративный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конспират
15833,константа,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,констант
15834,константиновский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,константинов
15835,константинопольский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,константинополь
15837,констатировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,констат
15840,конституционно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конституционн
15841,конституционность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конституцион
15847,конструкт,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конструкт
15851,конструктивно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конструкт
15852,конструктивно-технологический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"конструкт,технолог"
15860,консульство,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консульств
15868,консьерж,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,консьерж
15871,контактировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контакт
15872,контактный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контакт
15873,контактор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контактор
15874,контаминация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контамина
15879,контент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контент
15881,континент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,континент
15888,контра,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контра
15892,контрабас,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрабас
15894,контрагент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрагент
15897,контрактник,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контракт
15898,контрактный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контракт
15899,контральто,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контральт
15902,контраргумент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контраргумент
15905,контрастно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрастн
15906,контрастность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контраст
15910,контрафактный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрафакт
15911,контрацептив,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрацептив
15912,контрацепция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрацеп
15913,контрейлерный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрейлер
15914,контрибуция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрибу
15915,контригра,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контригр
15916,контрик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контр
15918,контрнаступление,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрнаступл
15920,контролерша,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контролерш
15923,контролируемый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контролиру
15926,контрольная,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контроль
15930,контрольно-ревизионный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"контрольн,ревизион"
15932,контрпродуктивный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрпродукт
15934,контрразведчик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрразвед
15935,контрразведывательный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрразведыватель
15936,контрреволюционер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрреволюционер
15939,контртеррористический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контртеррорист
15941,контуженый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контуже
15946,конунг,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конунг
15953,конферанс,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конферанс
15955,конференц-зал,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"конференц,зал"
15962,конфетти,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конфетт
15964,конфиденциально,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конфиденци
15965,конфиденциальность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конфиденциаль
15966,конфиденциальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конфиденци
15970,конфликтность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конфликт
15972,конфликтовать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конфликтов
15973,конфорка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конфор
15974,конформационный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конформацион
15975,конформация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конформа
15976,конформер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конформер
15982,конфузиться,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конфузитьс
15983,конфуцианский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конфуциан
15986,концентр,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,концентр
15987,концентрат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,концентрат
15996,концепт,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,концепт
15997,концепт-кар,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"концепт,кар"
15998,концептуализация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,концептуал
15999,концептуализировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,концептуализ
16001,концептуально,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,концепту
16007,концертмейстер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,концертмейстер
16010,концлагерь,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,концлагер
16019,конъюгат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конъюгат
16020,конъюгировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конъюг
16022,конъюнктура,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конъюнктур
16033,коняшка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коняш
16034,кооператив,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кооператив
16037,кооперационный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кооперацион
16044,координировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,координ
16053,копенгагенский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,копенгаген
16056,копирайтер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,копирайтер
16057,копирка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,копир
16058,копировальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,копиров
16059,копирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коп
16068,коптевский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коптев
16074,копченость,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,копче
16076,копчик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коп
16079,копье,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коп
16081,корабел,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,корабел
16088,коралловый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коралл
16090,коранический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коран
16091,корвалол,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,корвалол
16092,корвет,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,корвет
16094,кордебалет,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кордебалет
16098,корежить,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кореж
16106,кореш,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кореш
16119,коринфянин,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коринфянин
16129,кормежка,s,lemma_level_conflict,"корм,ежк",,корм => корм-1|корм-2,Root-level mapping escalated ежк to lemma-level conflict,корм-1
16142,корнет,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,корнет
16144,корниловский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,корнилов
16145,корнишон,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,корнишон
16153,коровенка,s,lemma_level_conflict,"коров,енк",коров,,Root-level mapping escalated енк to lemma-level conflict,коров
